address,amount
0xcd00f293b1f6e676dfbb03351c9a3f0d062f6577,205206272750564386
0xcd9036c2d9842c78bafa420a1a585b3a0a8e363f,137022996619110356796
0xcdf6260c5de3eea117812b87f0c2bc9b3ddee34d,48533399461297621
0xcdfb1348c42a2d3e7c8cbea64b468f8c80440ff2,500000000000000000
0xce6406e309dc2681030ec1a52d58bbf33368c007,12068265293890541548
0xd04fa401950b5f013ff7c37e28d165220d1f8c39,996618404397356183
0xd0dfca04752b04f2e1b1501f653c3f9405bdfcc6,317913395456640438
0xd136cfc0036a6aa7d1d89959bd918246102c709b,943807839779580
0xd1fc9fae2859f6c109f12ff2bfb94188393f1f30,6
0xd3f80b1bdc3c13490f333cd9c493fa942fe7cf3a,12694235357442931030946
0xd3fcfb444e25bc22ae88fceffae0d4ec5398b463,10070000000000000000
0xd73a79b6b3ee62de1a9fa242d3194c8730e4826d,97521958166824236295
0xd7720246c05499791362f234378e378a0e8d2c06,6147315678647892
0xd92a12952f83de133e9897101a2f2b1f72ca233e,4002483551796611
0xdbd90a9276fdbc3bc5dce8f552a9a813674a89dd,252
0xdc5bfd4b1930974f773d4ab645d3b5306d8b5800,116823986648797572261865
0xdc61808015c11e95f69a388050835a4998c25a52,2004353103
0xdd3243ca244611a84080fb93cf4d21fbb7882d59,1000000000000000000000
0xdd856564449d1eb96d258477776cb5b1fe14573e,6002785876097819830802
0xde4d47bae053adedd8e77eb1ef26260bf2350eac,350000000000000000000
0xe0a33353470385109d1e090c59556a28c3945d8c,2
0xe1386ff06bcabe5565b7ae5bf03b70f575df3049,64
0xe276416038dd2580474fc0d57d8639b887e3c1e7,10000000000214822
0xe2b70688e7b0680bc86f76b74e6a1614ca313277,624668975812225346
0xe3ae74bfb7ace1097a105b3ddf7d6ae25172b1f0,17129866923913983800
0xe4031d6cfb788cf7957ff6e41fbb8fed8342b1bf,530517607936870
0xe5266404ed33c58ec57c715306211bbf51263871,3
0xe60263f54da474fea5b3a9b365db1692c1627b9f,183224621648800416343
0xe66f879f4d4950f01a02ae63d34157a62f5a7d2b,7013533762764525
0xe6d45d128479fbcab32d55d9eeefa21fb430b335,463423472371807
0xe8464cecef03e72a7fdc2c44d53e1640d74d2bb0,49454263856827977
0xe86e7e0dcc88b359f603a41e935a01acf49fcdb9,6992235146233696241
0xeafbb4e2175f02858914ed9a1b0a337bdbc68e87,25159931868306
0xec4e04ab9d98450393f0f3f7b0d162efcfdab00c,964438999998076752
0xed0470c1175df472eb379265a8536344ca0784d7,7098696184112186116
0xeda0d4dee757f547d55e80e0e8a9b1551f8198b6,13729216832723790019
0xedbc6b8b22bac8d1679b114c19ef0138f705a5c7,3698571585315559879400
0xefcb172a055d22526bf96f54ae08544e68b5387d,24767992218088187128
0xf01ee4ed349d781d028a56e73b31c2203d3647d7,130334270439058443537
0xf0ec6d7633aad9c40e728d6c96eb001d30426fd7,1139110883621041539
0xf1beaf85cf3a22e4992f8952e8d3ead408d3edf0,947644236568866379450
0xf1e8d53f015be6a32f9b24fd3ec764145db62b19,98000000000000000000
0xf26872d424b197196d970db88505ca03fce0dc72,1550602541733027970
0xf27b9704a15ffe47818fd48660d952235e9c39af,2020000000000000000
0xf2dbb2503de1b1217a53d56deefee78b089211c4,2830690691823662368786
0xf30a8a7bf4e743bb96b1528bcc6bde9cc3a6ee7a,30000000000000000000
0xf3d756a3431182ee75e9e41652e21da76f2d97e0,1413441360312307316
0xf47327f6a6c0fa1e6f07efb4e387161178d6179a,1
0xf4c8f9b92fb2bffbe7745f6a16d6c63b7bfac80c,994437839507100334
0xf5f5c31629e00b81ef91ea890e2dfe4b3d3a1a03,4362695610660991858215
0xf6a723ac7fce23455325c28f0fc4286bf77feec0,484599589320000000000
0xf714b7a2fe4642a19f3a19df472dfce198aab843,277598760281973946098
0xf74213277154295f3dd096a8545d3f5290229900,11
0xf7d036cba45059723e8369e58b6a774b3f8249b7,3340737511769196
0xf7f96e4a6dbf858fa9f7dfbb9f01077a85dd98ef,481401351000000000000
0xf9c631a333b1def19776d94676d1c8e9ea0ad43d,1000000000000000000
0xfb10e2b3f29931f8372680877f1e4b3a139d9fa3,65413411867209844
0xfc42ee2a6b7ef078fe38f90ffcf26198aa9e2e46,21207812057022478491158
0xfccbfcb2b6b64f2901b8496a0fbe4fe5d843a932,5680
0xfd3043ee897b55f341a7f2270012e32e507fa6fa,16162744626457862
0xfd6cde121281fe99fe8fba4c2a6c1d969237d03a,821326024796857812317
0xfe03bc5cd4411194b27e190c5a17cb194df36813,97057411795026
0xfe40d0ca18ff425b6e5c0a38f016e0eebd7eab86,5723
0xff6288f3b1350a736a7c6ac50808380b4ef8fa43,2149469808556958
0xffc5187edfe284ac1576b25b1dc7a852fee2bfae,15935814774952362891
